date,product_id,quantity,unit_cost,lead_time_days
2024-01-01,SKU-A,78,50.0,7
2024-01-08,SKU-A,93,50.0,7
2024-01-15,SKU-A,72,50.0,7
2024-01-22,SKU-A,111,50.0,7
2024-01-29,SKU-A,63,50.0,7
2024-02-05,SKU-A,106,50.0,7
2024-02-12,SKU-A,88,50.0,7
2024-02-19,SKU-A,112,50.0,7
2024-02-26,SKU-A,106,50.0,7
2024-03-04,SKU-A,63,50.0,7
2024-03-11,SKU-A,110,50.0,7
2024-03-18,SKU-A,113,50.0,7
2024-03-25,SKU-A,83,50.0,7
2024-04-01,SKU-A,102,50.0,7
2024-04-08,SKU-A,94,50.0,7
2024-04-15,SKU-A,86,50.0,7
2024-04-22,SKU-A,66,50.0,7
2024-04-29,SKU-A,93,50.0,7
2024-05-06,SKU-A,76,50.0,7
2024-05-13,SKU-A,94,50.0,7
2024-05-20,SKU-A,58,50.0,7
2024-05-27,SKU-A,80,50.0,7
2024-06-03,SKU-A,104,50.0,7
2024-06-10,SKU-A,96,50.0,7
2024-06-17,SKU-A,98,50.0,7
2024-06-24,SKU-A,76,50.0,7
2024-07-01,SKU-A,88,50.0,7
2024-07-08,SKU-A,113,50.0,7
2024-07-15,SKU-A,115,50.0,7
2024-07-22,SKU-A,92,50.0,7
2024-07-29,SKU-A,86,50.0,7
2024-08-05,SKU-A,64,50.0,7
2024-08-12,SKU-A,92,50.0,7
2024-08-19,SKU-A,93,50.0,7
2024-08-26,SKU-A,108,50.0,7
2024-09-02,SKU-A,111,50.0,7
2024-09-09,SKU-A,105,50.0,7
2024-09-16,SKU-A,87,50.0,7
2024-09-23,SKU-A,94,50.0,7
2024-09-30,SKU-A,99,50.0,7
2024-10-07,SKU-A,107,50.0,7
2024-10-14,SKU-A,95,50.0,7
2024-10-21,SKU-A,92,50.0,7
2024-10-28,SKU-A,88,50.0,7
2024-11-04,SKU-A,90,50.0,7
2024-11-11,SKU-A,105,50.0,7
2024-11-18,SKU-A,104,50.0,7
2024-11-25,SKU-A,108,50.0,7
2024-12-02,SKU-A,85,50.0,7
2024-12-09,SKU-A,102,50.0,7
2024-12-16,SKU-A,119,50.0,7
2024-12-23,SKU-A,119,50.0,7
2024-01-01,SKU-B,208,10.0,14
2024-01-08,SKU-B,234,10.0,14
2024-01-15,SKU-B,195,10.0,14
2024-01-22,SKU-B,189,10.0,14
2024-01-29,SKU-B,199,10.0,14
2024-02-05,SKU-B,140,10.0,14
2024-02-12,SKU-B,235,10.0,14
2024-02-19,SKU-B,190,10.0,14
2024-02-26,SKU-B,238,10.0,14
2024-03-04,SKU-B,145,10.0,14
2024-03-11,SKU-B,155,10.0,14
2024-03-18,SKU-B,228,10.0,14
2024-03-25,SKU-B,211,10.0,14
2024-04-01,SKU-B,226,10.0,14
2024-04-08,SKU-B,204,10.0,14
2024-04-15,SKU-B,181,10.0,14
2024-04-22,SKU-B,227,10.0,14
2024-04-29,SKU-B,228,10.0,14
2024-05-06,SKU-B,281,10.0,14
2024-05-13,SKU-B,259,10.0,14
2024-05-20,SKU-B,214,10.0,14
2024-05-27,SKU-B,257,10.0,14
2024-06-03,SKU-B,210,10.0,14
2024-06-10,SKU-B,245,10.0,14
2024-06-17,SKU-B,215,10.0,14
2024-06-24,SKU-B,201,10.0,14
2024-07-01,SKU-B,271,10.0,14
2024-07-08,SKU-B,196,10.0,14
2024-07-15,SKU-B,279,10.0,14
2024-07-22,SKU-B,193,10.0,14
2024-07-29,SKU-B,239,10.0,14
2024-08-05,SKU-B,234,10.0,14
2024-08-12,SKU-B,195,10.0,14
2024-08-19,SKU-B,199,10.0,14
2024-08-26,SKU-B,191,10.0,14
2024-09-02,SKU-B,239,10.0,14
2024-09-09,SKU-B,222,10.0,14
