date,product_id,quantity,unit_cost,lead_time_days
2016-12-26,CAMA-MESA-BANHO,0,95.53,13
2017-01-02,CAMA-MESA-BANHO,1,95.53,13
2017-01-09,CAMA-MESA-BANHO,4,95.53,13
2017-01-16,CAMA-MESA-BANHO,11,95.53,13
2017-01-23,CAMA-MESA-BANHO,17,95.53,13
2017-01-30,CAMA-MESA-BANHO,33,95.53,13
2017-02-06,CAMA-MESA-BANHO,45,95.53,13
2017-02-13,CAMA-MESA-BANHO,47,95.53,13
2017-02-20,CAMA-MESA-BANHO,33,95.53,13
2017-02-27,CAMA-MESA-BANHO,54,95.53,13
2017-03-06,CAMA-MESA-BANHO,65,95.53,13
2017-03-13,CAMA-MESA-BANHO,57,95.53,13
2017-03-20,CAMA-MESA-BANHO,72,95.53,13
2017-03-27,CAMA-MESA-BANHO,74,95.53,13
2017-04-03,CAMA-MESA-BANHO,74,95.53,13
2017-04-10,CAMA-MESA-BANHO,33,95.53,13
2017-04-17,CAMA-MESA-BANHO,76,95.53,13
2017-04-24,CAMA-MESA-BANHO,57,95.53,13
2017-05-01,CAMA-MESA-BANHO,66,95.53,13
2017-05-08,CAMA-MESA-BANHO,77,95.53,13
2017-05-15,CAMA-MESA-BANHO,81,95.53,13
2017-05-22,CAMA-MESA-BANHO,101,95.53,13
2017-05-29,CAMA-MESA-BANHO,75,95.53,13
2017-06-05,CAMA-MESA-BANHO,99,95.53,13
2017-06-12,CAMA-MESA-BANHO,93,95.53,13
2017-06-19,CAMA-MESA-BANHO,73,95.53,13
2017-06-26,CAMA-MESA-BANHO,90,95.53,13
2017-07-03,CAMA-MESA-BANHO,127,95.53,13
2017-07-10,CAMA-MESA-BANHO,137,95.53,13
2017-07-17,CAMA-MESA-BANHO,151,95.53,13
2017-07-24,CAMA-MESA-BANHO,117,95.53,13
2017-07-31,CAMA-MESA-BANHO,93,95.53,13
2017-08-07,CAMA-MESA-BANHO,135,95.53,13
2017-08-14,CAMA-MESA-BANHO,140,95.53,13
2017-08-21,CAMA-MESA-BANHO,97,95.53,13
2017-08-28,CAMA-MESA-BANHO,90,95.53,13
2017-09-04,CAMA-MESA-BANHO,95,95.53,13
2017-09-11,CAMA-MESA-BANHO,164,95.53,13
2017-09-18,CAMA-MESA-BANHO,154,95.53,13
2017-09-25,CAMA-MESA-BANHO,97,95.53,13
2017-10-02,CAMA-MESA-BANHO,97,95.53,13
